frame,baseline_psnr,baseline_ssim,baseline_mse,finetuned_psnr,finetuned_ssim,finetuned_mse
triplet_00017,38.33462833913488,0.9712572458085926,9.541519165039062,40.58422355651524,0.9781344473649983,5.684051513671875
triplet_00018,29.073778420890626,0.9243256700031967,80.48269653320312,30.65674409269805,0.9426892119597711,55.89924621582031
triplet_00019,34.39622158338714,0.9509003452137683,23.62969970703125,36.03344181802753,0.9618491583206586,16.208251953125
triplet_00020,33.70319629496154,0.9287783778858548,27.717926025390625,34.3893113344608,0.9375112836982292,23.667327880859375
triplet_00021,33.12543027638487,0.8834684297050965,31.66192626953125,33.95609782692998,0.9038717485181265,26.149932861328125
triplet_00022,28.606676809643048,0.8924616947990708,89.62159729003906,30.505566104815593,0.9220452227604037,57.879364013671875
triplet_00023,40.48847385363778,0.9698274489905023,5.810760498046875,40.61582815163927,0.9713268034513728,5.6428375244140625
triplet_00024,32.41665268804981,0.8943553319422619,37.2747802734375,33.17771688266971,0.9084508771340664,31.28302001953125
triplet_00025,37.26355231708433,0.9560520964517004,12.21026611328125,38.50415643750755,0.9665400741761975,9.176239013671875
triplet_00026,33.48863348514355,0.9385820534381152,29.121719360351562,34.463328825886386,0.9497843800874458,23.267379760742188
triplet_00027,33.018585530742726,0.8995815741944552,32.450531005859375,33.69391794664105,0.9094556825433369,27.777206420898438
triplet_00028,40.1085862884443,0.9798370541646791,6.3419342041015625,41.24383170614781,0.9834828008875354,4.88311767578125
triplet_00029,33.34252746284171,0.9038484912635544,30.11810302734375,34.227889079996395,0.9181293497424824,24.563568115234375
triplet_00030,43.48356423234598,0.989362125903075,2.9155731201171875,44.40620564006224,0.990750222425417,2.3575439453125
triplet_00031,31.973541700846578,0.8591956316081194,41.278717041015625,32.67914034968758,0.8837957300285565,35.088623046875
triplet_00032,37.59144680319618,0.9588369416890419,11.32232666015625,38.429969624209434,0.9652136660859328,9.334335327148438
triplet_00033,38.30606643222542,0.9509104382028009,9.604476928710938,38.647597026010956,0.9536545195865458,8.87811279296875
triplet_00034,51.84891060553085,0.995978346621383,0.4248046875,51.85718630420446,0.9960602982715312,0.4239959716796875
triplet_00035,37.78258515495671,0.9612525432976832,10.834823608398438,38.58337447675786,0.9669391433760044,9.0103759765625
triplet_00036,31.602886322822496,0.8977480206998764,44.9564208984375,32.49719262618295,0.9149834308974915,36.58988952636719
triplet_00037,37.47095522945072,0.9415662983943094,11.640853881835938,38.852109711174016,0.9554932496839202,8.4697265625
triplet_00038,33.495166964896946,0.9274147179477379,29.07794189453125,34.470106920290526,0.9391698497691982,23.231094360351562
triplet_00039,35.43464677652892,0.9558734937019118,18.604400634765625,36.496260487195684,0.9636507382591687,14.56982421875
triplet_00040,33.41093972947393,0.9379687415080347,29.647384643554688,34.50532152236994,0.9488321421723507,23.043487548828125
triplet_00041,33.9783157797577,0.9047948977361931,26.016494750976562,34.8183791283997,0.9187474638736798,21.440872192382812
